year,happiness,log_gdp_per_capita,social_support,life_expectancy,freedom_choices,generosity,corruption,positive_affect,negative_affect,ID
2012,3.898706913,8.013453484,0.605528593,59.68000031,0.955595791,0.241560802,0.890136123,0.713434279,0.351858586,320
2013,3.674466848,8.070134163,0.650589585,60.02000046,0.940592945,0.158509463,0.811991632,0.669755757,0.44031167,321
2014,3.88330555,8.125146866,0.693434179,60.36000061,0.937544584,0.233871236,0.842555106,0.681957722,0.481934011,322
2015,4.162164688,8.178988457,0.728610277,60.70000076,0.956319809,0.204405278,0.825130224,0.731492698,0.399102688,323
2016,4.461259365,8.232682228,0.745901227,60.90000153,0.957821488,0.070266694,0.840416849,0.71258837,0.398200303,324
2017,4.585842133,8.287207603,0.765094936,61.09999847,0.963774681,0.08188995,0.821022928,0.668839991,0.40828383,325
2006,3.851072073,8.089927673,0.689600766,47.84000015,0.653422654,-0.020480869,0.907067657,0.588019311,0.270873696,332
2007,4.349939346,8.104486465,0.717394173,48.27999878,0.643883944,-0.042105891,0.910349727,0.629790902,0.248631328,333
2008,4.291800499,8.104195595,0.696715772,48.72000122,0.580257237,-0.079203151,0.945002794,0.612912178,0.31248498,334
2009,4.741408348,8.101195335,0.728693902,49.15999985,0.698030412,-0.027185762,0.925447285,0.59187758,0.249821514,335
